,idv_for_model_corrected,Keep/ Remove,Select Null,Select,product_category_idv,Equity Pillar,data_source,metric_name,Vendor Metric Group,Group,Common,Blank brand count,Blank brands,Comments,min,max,Neg Flag
60,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_rank_1st,1,Y,N,DOG FOOD,,directions,creates_excitement_and_eagerness_at_mealtime_rank_1st,Brand Attributes,Palatability,Dog Food except Treats,0,,Excluded rank1st,0,100,P
61,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_rank_1st,0,N,N,CAT FOOD,,directions,creates_excitement_and_eagerness_at_mealtime_rank_1st,Brand Attributes,Palatability,Dog Food except Treats,15,"9LIVES,BEYOND,CAT CHOW LINE,DENTALIFE,FANCY FEAST,FRISKIES,GREENIES,IAMS,MEOW MIX,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,SHEBA,TEMPTATIONS",Question only for Dog Food except Treats,0,100,P
62,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_rank_1st,0,N,N,CAT LITTER,,directions,creates_excitement_and_eagerness_at_mealtime_rank_1st,Brand Attributes,Palatability,Dog Food except Treats,,,,0,100,P
63,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_rank_1st,0,N,N,DOG TREATS ONLY,,directions,creates_excitement_and_eagerness_at_mealtime_rank_1st,Brand Attributes,Palatability,Dog Food except Treats,,,,0,100,P
64,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_rank_1st,0,N,N,CAT TREATS ONLY,,directions,creates_excitement_and_eagerness_at_mealtime_rank_1st,Brand Attributes,Palatability,Dog Food except Treats,,,,0,100,P
65,directions_brand_attributes_creates_playful_moments_with_my_cat_mean,0,N,N,DOG FOOD,,directions,creates_playful_moments_with_my_cat_mean,Brand Attributes,Pet Connection,Cat Treats,22,"ALPO,BEGGIN',BENEFUL,BEYOND,BUSY,CESAR,DENTALIFE,DOG CHOW LINE,EUKANUBA,FRESHPET,GREENIES,IAMS,MERRICK,MILK-BONE,NUTRO,PEDIGREE,PRO PLAN,PUP-PERONI,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,ZUKE'S",Question only for Cat Treats,0,100,P
66,directions_brand_attributes_creates_playful_moments_with_my_cat_mean,0,N,N,CAT FOOD,,directions,creates_playful_moments_with_my_cat_mean,Brand Attributes,Pet Connection,Cat Treats,10,"9LIVES,BEYOND,CAT CHOW LINE,FANCY FEAST,FRISKIES,IAMS,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN",Question only for Cat Treats,0,100,P
67,directions_brand_attributes_creates_playful_moments_with_my_cat_mean,0,N,N,CAT LITTER,,directions,creates_playful_moments_with_my_cat_mean,Brand Attributes,Pet Connection,Cat Treats,,,,0,100,P
68,directions_brand_attributes_creates_playful_moments_with_my_cat_mean,0,N,N,DOG TREATS ONLY,,directions,creates_playful_moments_with_my_cat_mean,Brand Attributes,Pet Connection,Cat Treats,,,,0,100,P
69,directions_brand_attributes_creates_playful_moments_with_my_cat_mean,1,Y,Y,CAT TREATS ONLY,brand_perceptions,directions,creates_playful_moments_with_my_cat_mean,Brand Attributes,Pet Connection,Cat Treats,,,,0,100,P
